config,attribute,ground_truth,predicted,correct,unknown
LLM-only,model_number,GP-ASM2NE6500GTTD,AORUS500GB,False,False
LLM-only,model_number,WDS200T2B0A,WDBP1T0020BBK-01,False,False
LLM-only,interface_type,NVMe,USB 3.0,False,False
LLM-only,storage_connection_type,Type-C,USB,False,False
LLM-only,model_number,GP-GSTFS31480GNTD,AABFM28Q2M4R-128,False,False
LLM-only,model_number,GV-N208SAORUS-8GC,GV-N208SWF3OC-8GC,False,False
LLM-only,bus_type,USB 3.0,USB_3.1,False,False
LLM-only,interface_type,Lightning,USB,False,False
LLM-only,model_number,XA1920ME10063,NPA1551100,False,False
LLM-only,model_number,NEAT7100HD46H,GEFORCE GT 710 PASSIVE 2GB D5-192-PCIE,False,False
LLM-only,model_number,MTFDHBE3T8TDF-1AW1ZABYY,MTFDS4800MTZP-1T4PK,False,False
LLM-only,model_number,DC450R/3840G,DC450R-3.84T,False,False
LLM-only,model_number,WDS120G2G0A,WDS120G3B0A,False,False
LLM-only,model_number,CZ73,SDF64U3,False,False
LLM-only,form_factor,3.5”,3.5-inch,False,False
LLM-only,storage_connection_type,3.5” SATA,SATA,False,False
LLM-only,model_number,HDWD105UZSVA,P300001T,False,False
LLM-only,bus_type,USB 3.0,USB,False,False
LLM-only,interface_type,iOS,Lightning,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,interface_type,SATA,SATA,True,False
LLM-only,model_number,GV-N2070WF2-8GD,Aorus GeForce RTX 2070 Windforce 8G,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,bus_type,PCIe x16,PCIe,False,False
LLM-only,model_number,MZ-V7S1T0B/AM,MWPE1T0BW,False,False
LLM-only,model_number,MZ-76P1T0B/EU,MZ-76P1T0BW,False,False
LLM-only,model_number,ZP480NM30011,510-480-GW-SH1,False,False
LLM-only,model_number,MZ-V7E250BW,980,False,False
LLM-only,model_number,GV-RXVEGA56GAMING OC-8GD,GV-RXVEGA56 GAMING OC-8G,False,False
LLM-only,model_number,HDWE140EZSTA,X300-4TB,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,form_factor,ATX,NVIDIA-Pascal-Form-Factor,False,False
LLM-only,model_number,AXRX5700XT-8GBD6-3DHDR/OC,AXRX 5700XT 8GBD6-3DF/N,False,False
LLM-only,model_number,GV-N166TOC-6GD,GV-N1660WF3-6G,False,False
LLM-only,bus_type,PCIe 3.0,192-bit,False,False
LLM-only,model_number,ZA500GM1A001,ST500LT012-1EG164,False,False
LLM-only,model_number,VPN100-512GM28H,VPN100-512GB,False,False
LLM-only,bus_type,PCIe,Slim PCIe,False,False
LLM-only,model_number,CT500P2SSD8,P2-500GB-NVME-M2280,False,False
LLM-only,model_number,DTEG2/64GB,DTG25,False,False
LLM-only,interface_type,USB Type-A,USB_3_1,False,False
LLM-only,storage_connection_type,USB Type-A,USB_3_1,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,DT70/32GB,DT070/32G,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,100-505957,WX-9100-16GBHBM2-6MDP,False,False
LLM-only,form_factor,PCIe Add-in Card,Half Height PCIe,False,False
LLM-only,bus_type,USB 3.0,SATA,False,False
LLM-only,interface_type,Micro-USB 3.0 (Micro-B 10-pin),USB3.0,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,model_number,V809-2404R,NV15P9S6K,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,SKC600/512G,DM-KC600-512G,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,STEA2000403,STGD2000400,False,False
LLM-only,interface_type,USB,USB 3.0,False,False
LLM-only,model_number,SP512GBP34A80M28,A80-512GB,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,MZ-76E250BW,MB-M250ME/AM,False,False
LLM-only,model_number,WDS240G2G0B,WDS240G3G0A,False,False
LLM-only,form_factor,"2.5""",External,False,False
LLM-only,storage_connection_type,"2.5""",USB 3.2 Gen 1,False,False
LLM-only,model_number,WD20EURX,WD2003FZEX,False,False
LLM-only,model_number,AS40G-1TT-C,S40G-1TB,False,False
LLM-only,bus_type,PCIe 3.0 x4,M.2,False,False
LLM-only,model_number,06G-P4-1161-KR,NVIDIA-TU106-6G-GDDR5,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,interface_type,NVMe,PCI-Express 3.0 x4,False,False
LLM-only,model_number,AHD830-5TU31-CBK,HD830-5TB-BK,False,False
LLM-only,interface_type,USB,USB3.0,False,False
LLM-only,form_factor,"2.5""",Portable,False,False
LLM-only,model_number,GP-ASM2NE6200TTTD,AORUS_NVMe_Gen4_SSD_2TB,False,False
LLM-only,model_number,STHN2000400,BUPHS2000,False,False
LLM-only,form_factor,"2.5""",Slim,False,False
LLM-only,interface_type,USB tipo A,USB_A,False,False
LLM-only,storage_connection_type,USB tipo A,USB,False,False
LLM-only,model_number,WDS250G2B0C,SN500F,False,False
LLM-only,model_number,DTDUO3/64GB,DTMU3/64GB,False,False
LLM-only,interface_type,USB,USB3.2Gen1,False,False
LLM-only,form_factor,Portable,Portable Drive,False,False
LLM-only,storage_connection_type,USB,USB,True,False
LLM-only,model_number,02G-P4-6333-KR,04G-P4-2067-KR,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,ZT-T20610E-10M,ZT-T20600F-10M,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,SATA,SATA,True,False
LLM-only,interface_type,SATA,SATA,True,False
LLM-only,form_factor,"3.5""",Desktop,False,False
LLM-only,storage_connection_type,3.5-inch SATA,SATA,False,False
LLM-only,model_number,HDWD120UZSVA,P3A510039,False,False
LLM-only,model_number,652611-B21,HPE6T30CMG8H9M1Y7,False,False
LLM-only,model_number,785067-B21,ES.3RH300EJ,False,False
LLM-only,model_number,WD20EZRZ,WDBFVX0020BBK,False,False
LLM-only,model_number,GP-ASM2NE2512GTTDR,AORUS-RGB-512G,False,False
LLM-only,model_number,ST10000NM001G,10TB7C19,False,False
LLM-only,bus_type,USB 3.1 Gen 2,USB-C,False,False
LLM-only,interface_type,Type C & Type A Compatible,USB-C,False,False
LLM-only,model_number,CT500X8SSD9,P500GBF,False,False
LLM-only,bus_type,USB 3.1 Gen 2,SATA,False,False
LLM-only,interface_type,USB-C,USB,False,False
LLM-only,form_factor,External,Portable,False,False
LLM-only,storage_connection_type,USB-C,USB,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,form_factor,"2.5""",Portable,False,False
LLM-only,model_number,GV-N208SGAMING-OC-8GC,NV2080SGOC8GD6-256A,False,False
LLM-only,model_number,11G-P4-2589-KR,11G-P4-2281-KR,False,False
LLM-only,bus_type,PCIe 3.0,PCIe 3.0 x16,False,False
LLM-only,model_number,XA960LE10063,NyRA6-96356-001,False,False
LLM-only,form_factor,"2.5""",U.2,False,False
LLM-only,storage_connection_type,"2.5"" SATA",SATA,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,form_factor,ATX,NVIDIA PCIe,False,False
LLM-only,model_number,ST10000VX0004,ST10000VN0004,False,False
LLM-only,model_number,100-505826,WX7100-8GB-4DP,False,False
LLM-only,form_factor,Single-Slot,single-slot,True,False
LLM-only,model_number,MZ-76E1T0B,SMR860EVA01,False,False
LLM-only,model_number,MZ-76P512B/EU,MDM9U1T0HAXM,False,False
LLM-only,model_number,WDS100T2X0C,SN750,False,False
LLM-only,model_number,MU-PC2T0S/WW,T7P027AUS,False,False
LLM-only,form_factor,ATX,Add-in Card,False,False
LLM-only,model_number,90YV0CU1-M0NA00,GA06-0125C,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,ASX8200PNP-2TT-C,XPGSX8200PN225,False,False
LLM-only,model_number,ZA480CV1A001,ST500LT012-1DG164,False,False
LLM-only,model_number,TUF-RTX2060-6G-GAMING,RTX2060-6G-GAMING,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,interface_type,USB,USB_A,False,False
LLM-only,model_number,GV-N208SAORUS-WB-8GC,GV-N208SWF4GC-WB,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,form_factor,ATX Form,Full Height GPU,False,False
LLM-only,model_number,ST4000NM0025,ST4000NM0039,False,False
LLM-only,interface_type,USB,USB_3.0,False,False
LLM-only,model_number,SDCZ73-256G-G46,SDFGH256GB,False,False
LLM-only,model_number,SSDSC2KB019T7,DSSD-S4500-1.9TB,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,interface_type,NVMe,USB 3.1 Gen 1,False,False
LLM-only,model_number,GV-N730D5-2GL,GV-N73N512D5-15H,False,False
LLM-only,form_factor,Low-profile,Desktop/PCIe,False,False
LLM-only,model_number,DUAL-RX580-O8G,RX-580-8G-O8G-4DPD,False,False
LLM-only,model_number,MZ-V7S250B/AM,MZ-V7E250BW,False,False
LLM-only,bus_type,SATA III,SATA,False,False
LLM-only,interface_type,SATA,SATA,True,False
LLM-only,form_factor,"2.5""",Internal,False,False
LLM-only,storage_connection_type,2.5-inch SATA,SATA,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,ZA500CM1A003,ST500LT012,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,CMFVY3A-128GB,CVM128GB,False,False
LLM-only,model_number,MU-PA500,T5-500GB,False,False
LLM-only,model_number,STGG8000400,STGD800200,False,False
LLM-only,form_factor,"3.5""",External,False,False
LLM-only,storage_connection_type,USB 3.0,USB,False,False
LLM-only,model_number,ZA3840NM10011,ST11000622DS,False,False
LLM-only,model_number,SDCZ48-06G-U46,SDUC16G,False,False
LLM-only,interface_type,USB-C,NAND,False,False
LLM-only,storage_connection_type,USB-C,USB 3.1,False,False
LLM-only,model_number,ZT-T20810D-10P,ZT-T20810C-10P,False,False
LLM-only,bus_type,PCIe x16,PCIe,False,False
LLM-only,model_number,ASD700-256GU31-CBK,SD700-256GB-U03,False,False
LLM-only,storage_connection_type,USB,Micro-USB,False,False
LLM-only,model_number,SSDPE21D480GAX1,905P480G,False,False
LLM-only,model_number,DC450R/1920G,DC450R1/1920G,False,False
LLM-only,form_factor,"2.5""",SATA 2.5-inch,False,False
LLM-only,storage_connection_type,"2.5"" SATA",SATA 6Gb/s,False,False
LLM-only,model_number,MG04ACA600E,Toshiba MQ05ABF068H,False,False
LLM-only,interface_type,SAS,SAS,True,False
LLM-only,storage_connection_type,"2.5"" SFF",SAS,False,False
LLM-only,model_number,Turbo -RTX2070S-8G-EVO,TURBO-EV-8G-GDDR6,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,model_number,DT100G3/ 16GBCR,DTCG100G3,False,False
LLM-only,model_number,90YV0DV1-M0NA00,RX 5500 XT EVO 8G,False,False
LLM-only,model_number,WDBWLG0030HBK,WD30EFRX,False,False
LLM-only,model_number,GT1030-2G-BRK,GT1030-2G-BRK,True,False
LLM-only,model_number,ST8000VN004,ST8000AS0009,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,WDS200T1R0B,SA500-750GD,False,False
LLM-only,form_factor,M.2,M.2,True,False
LLM-only,storage_connection_type,"2.5"" SFF",SAS,False,False
LLM-only,model_number,XA480ME10063,NTR-48501,False,False
LLM-only,model_number,TUF-GTX1650S-4G-GAMING,TUFGTX1650S4GD6,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,MU-PC1T0H/WW,T7P1TB,False,False
LLM-only,bus_type,USB 3.2 Gen 2,SATA III,False,False
LLM-only,interface_type,Type-C,USB-C,False,False
LLM-only,bus_type,PCIe 2.0,PCIe,False,False
LLM-only,form_factor,Low profile,Half Height PCIe,False,False
LLM-only,model_number,ROG-STRIX-RX5700XT-O8G-GAMING,Radeon RX 5700 XT 8GB ROG STRIX OC GAMING,False,False
LLM-only,model_number,WDBYNN0010BRD-WESN,WDBY8L0010BBLT,False,False
LLM-only,interface_type,USB Type-C,USB 3.0,False,False
LLM-only,model_number,WDBYVG0010BBK-WESN,WDBY6X0010BBK,False,False
LLM-only,model_number,SSDSC2KB240G801,D3-S240G,False,False
LLM-only,model_number,VGAGT1030-2G-BRK,GT 1030-2GD5,False,False
LLM-only,model_number,ST1000NM001A,7E80000-XXXXX,False,False
LLM-only,model_number,ZA240NM10011,IW510240G0,False,False
LLM-only,model_number,WD100PURZ,P10C5120,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,STHH2000400,STDR2000101,False,False
LLM-only,interface_type,Type-C,USB 3.0,False,False
LLM-only,model_number,MU-PC500S/WW,T5J5040S0C,False,False
LLM-only,model_number,GV-N208STURBO-8GC,NV21P4X7-001,False,False
LLM-only,model_number,WDS100T2G0A,WDS100T3B01A,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,USB 3.1 Gen 1,USB_C,False,False
LLM-only,model_number,N208TAORUSX W-11GC,AORUS-RTX2080TI-WF11G,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,SE9 G2,DTS9G2-16,False,False
LLM-only,model_number,WDS250G2B0B,WDBY1T0020ZSL-2ATSA,False,False
LLM-only,bus_type,SATA III,M.2,False,False
LLM-only,interface_type,SATA,M.2,False,False
LLM-only,model_number,ZP500GM3A002,ST500NM020,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,interface_type,SATA,SATA-6GBPS,False,False
LLM-only,model_number,STJM2000400,Barracuda 2TB 2.5 SATA III,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,interface_type,OTG,USB_2.0,False,False
LLM-only,model_number,TURBO-RTX2060S-8G-EVO,TU106-410,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,SSDPED1K750GA01,P4800X,False,False
LLM-only,form_factor,HHHL,HHHL (Half-Height Half-Length),False,False
LLM-only,model_number,WD10PURZ,P5C1N0,False,False
LLM-only,model_number,ST8000NM000A,ST8000NE0008,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,interface_type,Micro USB,USB_2.0,False,False
LLM-only,bus_type,USB 3.0,SATA,False,False
LLM-only,form_factor,2.5,Portable,False,False
LLM-only,model_number,CZ73,SUF16U3,False,False
LLM-only,model_number,D3-S4610,D3-S4610-480GB,False,False
LLM-only,model_number,DTVP30/32GB,DTPV032G/128GB,False,False
LLM-only,model_number,MG07ACA12TE,HDT721012SLSA360,False,False
LLM-only,model_number,WD40EFAX,WD40EFRX,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,GV-N2060WF2OC-6GD,GV-N2060WF6GC-OC,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,storage_connection_type,Type C,USB_3_0,False,False
LLM-only,model_number,STEA4000402,GD44-0003,False,False
LLM-only,model_number,GVN166TGO6-00-G,GV-N166TSL-6GD,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,652583-B21,HPE6T60CTAHX5K,False,False
LLM-only,model_number,SDCZ50-008G,CBL-032,False,False
LLM-only,bus_type,USB 2.0,USB,False,False
LLM-only,model_number,ZT-T16610F-10L,ZT-T20610C-30L,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,WDS200T1R0A,SA500-2TB,False,False
LLM-only,model_number,SDIX30C-016G-GN6NN,iXpand-16GB,False,False
LLM-only,model_number,870757-B21,F6PR,False,False
LLM-only,model_number,SDCZ48-128G-U46,SDDC7S-128G-G25,False,False
LLM-only,model_number,SA2000M8/1000G,A20001TB,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,storage_connection_type,USB,USB 3.0,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,RX-580P8DFD6,RX-58XT8FDG5,False,False
LLM-only,model_number,STHP4000403,STDR4000100,False,False
LLM-only,model_number,MZ-76P256B/EU,MZ-76P256BW,False,False
LLM-only,model_number,652564-B21,HPE E7S43ABAABA,False,False
LLM-only,model_number,CSSD-F240GBMP510,MP500,False,False
LLM-only,model_number,GV-N207SAORUS-8GC,GV-N207SWF3OC-8G,False,False
LLM-only,interface_type,ATX,PCIe x16,False,False
LLM-only,form_factor,ATX,Graphics Card,False,False
LLM-only,model_number,ROG -STRIX-RTX2070S-O8G-GAMING,NV2070SC-8GD6-O,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,interface_type,USB Type-A,USB_3.0,False,False
LLM-only,storage_connection_type,USB Type-A,USB,False,False
LLM-only,model_number,DTIG4/128GB,DTRG4/128GB,False,False
LLM-only,model_number,SSDPEKNW010T8X1,D5PBGY1X002,False,False
LLM-only,form_factor,"2.5""",Portable,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,interface_type,USB Type-C,PCIe,False,False
LLM-only,bus_type,SATA III,SATA,False,False
LLM-only,interface_type,SATA,SATA,True,False
LLM-only,form_factor,"2.5""",2.5-inch,False,False
LLM-only,storage_connection_type,"2.5"" SATA",SATA,False,False
LLM-only,model_number,DT01ACA200,Toshiba HDWD210UZSVA,False,False
LLM-only,model_number,ST10000VN0004,ST10000VN0006,False,False
LLM-only,model_number,WDS500G3X0C,WDS500G3X0E-01T00A0,False,False
LLM-only,model_number,WD30PURZ,WD30EFRX,False,False
LLM-only,storage_connection_type,3.5-inch SATA,SATA3,False,False
LLM-only,model_number,DUAL-RTX2070S-8G-EVO,TU106-410-A1,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,ST16000NE000,ST18000VP007,False,False
LLM-only,interface_type,USB Type C,USB 3.1 Gen 2,False,False
LLM-only,model_number,WD5003AZEX,WDBYR0010HBK,False,False
LLM-only,model_number,ST3000VX010,ST6000VN003,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,SDCZ71-032G-B35,SDFG32GBCF,False,False
LLM-only,model_number,MZ-V6E500BW,MZ-V6E500BW,True,False
LLM-only,model_number,ST600MP0006,ST600MP0006,True,False
LLM-only,model_number,3813430,Intenso-120GB-SSD-SATA-III-High-Performance,False,False
LLM-only,model_number,GV-N166SGAMING OC-6GD,AORUS-GV16-6G,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,form_factor,ATX,PCIe,False,False
LLM-only,model_number,GT710-4H-SL-2GD5,NVIDIA GeForce GT 710-2GD5-P,False,False
LLM-only,model_number,GV-R55XTGAMING OC-8GD,GV-R55XTOC-8GC,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,DUAL-RTX3070-8G,RTX3070-8G-DUAL,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,bus_type,USB 3.1,USB3.1,False,False
LLM-only,interface_type,USB Type C,USB3.1Gen2,False,False
LLM-only,form_factor,2.5,Portable,False,False
LLM-only,model_number,DTDUO3C/32GB,DTMBU32G,False,False
LLM-only,bus_type,USB 3.1,USB-C,False,False
LLM-only,storage_connection_type,USB-C,USB3_0,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,PH-GTX1050TI-4G,GP104-417-A1,False,False
LLM-only,model_number,VCG20708STFMPB-O,VCG2070SXLP-8GV2,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,form_factor,Dual-Slot,Full Height,False,False
LLM-only,model_number,MZ-76P256E,SNVLF32N-5025,False,False
LLM-only,model_number,DUAL-RTX2070S-A8G-EVO,TU106-410-A1,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,ZA1000GM1A001,ST12000DM000,False,False
LLM-only,model_number,ROG-STRIX-RTX2060-A6G-GAMING,RTX2060-8G-GAMING,False,False
LLM-only,bus_type,PCIe x16,PCIe,False,False
LLM-only,model_number,ST2000NX0273,Barracuda 7200.14,False,False
LLM-only,bus_type,SAS 12G,SATA,False,False
LLM-only,interface_type,SAS,SATA,False,False
LLM-only,model_number,ST2000NX0253,XJ47Q1YZZK,False,False
LLM-only,bus_type,SATA III,SATA,False,False
LLM-only,interface_type,USB Type-C,USB 3.0,False,False
LLM-only,form_factor,"2.5""",2.5-inch,False,False
LLM-only,storage_connection_type,2.5-inch SATA,SATA3,False,False
LLM-only,model_number,ST1000NX0313,7E2000,False,False
LLM-only,model_number,11293-05-40G,RX 5700XT SE NITRO+,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,WDS500G1B0A,WDS500G3B0A,False,False
LLM-only,form_factor,"2,5''",2.5-inch,False,False
LLM-only,storage_connection_type,2.5-inch SATA,SATA,False,False
LLM-only,model_number,11293-01-20G,Navi 20 XL,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,GV-N166TWF2OC-6GD,GV-N1660WF2OC-6G,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
