config,df1_idx,attribute,ground_truth,predicted,correct,unknown
RAG-full,806,bus_type,PCIe 3.0 x16,PCIe 3.0 x16,True,False
RAG-full,806,form_factor,Full-height,Desktop,False,False
RAG-full,810,model_number,MZ-V7S250BW,MZ-V7E250BW,False,False
RAG-partial,14,model_number,GV-R56XTGAMING OC-6GD,RX-5600XT-GAMING-OC,False,False
RAG-partial,52,bus_type,SATA III,SATA III,True,False
RAG-partial,52,interface_type,SATA,SATA III-600,True,False
RAG-partial,72,model_number,CT1000P1SSD8,P1 CT1000P1SSD8,True,False
RAG-partial,127,model_number,NEAT7100HD46H,NEAT7100HD46H,True,False
RAG-partial,130,model_number,DC450R/3840G,Data Centre DC450R,False,False
RAG-partial,132,model_number,CZ73,SDDMC1-064-G46,False,False
RAG-partial,136,form_factor,3.5”,3.5,True,False
RAG-partial,136,storage_connection_type,3.5” SATA,3.5” SATA,True,False
RAG-partial,214,model_number,WD20EURX,AV-2000,False,False
RAG-partial,216,model_number,AS40G-1TT-C,AS40G-1TT-C,True,False
RAG-partial,216,bus_type,PCIe 3.0 x4,PCIe 3.0 x4,True,False
RAG-partial,235,interface_type,USB tipo A,A,True,False
RAG-partial,235,storage_connection_type,USB tipo A,USB-A,False,False
RAG-partial,262,model_number,GP-ASM2NE2512GTTDR,GP-ASM2NE6100TTTD,False,False
RAG-partial,289,model_number,MU-PC2T0S/WW,T7TOU2000,False,False
RAG-partial,368,bus_type,PCIe 2.0,PCIe 2.0,True,False
RAG-partial,368,form_factor,Low profile,Low Profile,True,False
RAG-partial,453,model_number,WD40EFAX,WD40EFRX,False,False
RAG-partial,467,model_number,WDS200T1R0A,wds200t1b05,False,False
RAG-partial,526,model_number,SDCZ71-032G-B35,SDFNT0104,False,False
RAG-partial,532,model_number,3813430,3813430,True,False
RAG-partial,713,model_number,ST14000NE0008,ST14000NE0000,False,False
RAG-partial,713,interface_type,SATA,SATA,True,False
RAG-partial,719,model_number,ST1800MM0129,ST180AX3003,False,False
RAG-partial,730,model_number,HDWQ140UZSVA,HDWD120UZSVB,False,False
RAG-partial,734,model_number,SKC2000M8 / 500G,KC2000-500G,False,False
RAG-partial,739,bus_type,PCIe 4.0,PCIe 4.0,True,False
RAG-partial,754,form_factor,"1""",1,True,False
RAG-partial,806,bus_type,PCIe 3.0 x16,PCIe,True,False
RAG-partial,806,form_factor,Full-height,Full Height,False,False
RAG-partial,810,model_number,MZ-V7S250BW,970 EVO Plus,False,False
