df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,llm_judgment
77,RAG-clean,height_mm,True,7.0,UNKNOWN,True,False,wrong
95,RAG-clean,model_number,False,801882-B21,801882-B21,False,True,correct
95,RAG-clean,model,False,ISS,UNKNOWN,True,False,wrong
137,RAG-clean,model,False,L200,UNKNOWN,True,False,wrong
13,RAG-clean,model_number,False,AGAMMIXS11P-1TT-C,UNKNOWN,True,False,wrong
14,RAG-clean,model_number,False,GV-R56XTGAMING OC-6GD,UNKNOWN,True,False,wrong
15,RAG-clean,bus_type,False,PCIe 3.0 x16,UNKNOWN,True,False,wrong
15,RAG-clean,model_number,False,100-506008,UNKNOWN,True,False,wrong
16,RAG-clean,model_number,False,NE6166SS18J9-161F,UNKNOWN,True,False,wrong
0,RAG-noisy,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False,True,correct
2,RAG-noisy,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510B,False,True,acceptable
2,RAG-noisy,read_speed_mb_s,True,3480.0,3480,False,True,correct
2,RAG-noisy,write_speed_mb_s,True,3000.0,3000,False,True,correct
3,RAG-noisy,read_speed_mb_s,True,226.0,226,False,True,correct
4,RAG-noisy,width_mm,True,433.0,UNKNOWN,True,False,wrong
5,RAG-noisy,bus_type,False,PCIe 3.0 x16,PCIe 3.0,False,True,acceptable
5,RAG-noisy,model_number,False,90YV0CV2-M0NA00,GTX1650SOPH-4G,False,False,correct
6,RAG-noisy,bus_type,False,USB 3.0,USB 3.0,False,True,correct
8,RAG-noisy,model_number,False,GV-N166SOC-6GD,GeForce GTX 1660 OC,False,False,correct
9,RAG-noisy,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG-noisy,model_number,False,V375-040R,912-V375-040,False,False,acceptable
9,RAG-noisy,height_mm,True,46.0,247,False,False,wrong
9,RAG-noisy,width_mm,True,127.0,127,False,True,correct
11,RAG-noisy,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
12,RAG-noisy,bus_type,False,PCIe 4.0,PCIe,False,True,correct
12,RAG-noisy,model_number,False,90YV0DQ0-M0NA00,GeForce RTX 2060 Super ROG Strix Evo Gaming,False,False,correct
18,RAG-noisy,read_speed_mb_s,True,550.0,550,False,True,correct
18,RAG-noisy,write_speed_mb_s,True,520.0,520,False,True,correct
18,RAG-noisy,height_mm,True,7.0,7,False,True,correct
20,RAG-noisy,model,False,220S,220S,False,True,correct
20,RAG-noisy,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
28,RAG-noisy,height_mm,True,42.0,42,False,True,correct
28,RAG-noisy,width_mm,True,130.9,130.9,False,True,correct
33,RAG-noisy,read_speed_mb_s,True,130.0,130,False,True,correct
33,RAG-noisy,height_mm,True,20.8,20.8,False,True,correct
33,RAG-noisy,width_mm,True,87.9,87.9,False,True,correct
41,RAG-noisy,read_speed_mb_s,True,540.0,300,False,False,wrong
41,RAG-noisy,height_mm,True,10.5,UNKNOWN,True,False,wrong
41,RAG-noisy,width_mm,True,57.0,UNKNOWN,True,False,wrong
52,RAG-noisy,bus_type,False,SATA III,UNKNOWN,True,False,wrong
52,RAG-noisy,model,False,SU800,SU800,False,True,correct
52,RAG-noisy,read_speed_mb_s,True,560.0,560,False,True,correct
52,RAG-noisy,write_speed_mb_s,True,520.0,520,False,True,correct
52,RAG-noisy,height_mm,True,3.5,3.5,False,True,correct
52,RAG-noisy,width_mm,True,22.0,22,False,True,correct
56,RAG-noisy,read_speed_mb_s,True,560.0,560,False,True,correct
56,RAG-noisy,write_speed_mb_s,True,510.0,510,False,True,correct
60,RAG-noisy,model,False,Ironwolf 110,UNKNOWN,True,False,wrong
60,RAG-noisy,read_speed_mb_s,True,560.0,UNKNOWN,True,False,wrong
77,RAG-noisy,read_speed_mb_s,True,555.0,VALUE:UNKNOWN,False,False,acceptable
77,RAG-noisy,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
77,RAG-noisy,height_mm,True,7.0,UNKNOWN,True,False,wrong
95,RAG-noisy,model_number,False,801882-B21,801882-B21,False,True,correct
95,RAG-noisy,model,False,ISS,UNKNOWN,True,False,wrong
137,RAG-noisy,model,False,L200,UNKNOWN,True,False,wrong
13,RAG-noisy,model_number,False,AGAMMIXS11P-1TT-C,UNKNOWN,True,False,wrong
14,RAG-noisy,model_number,False,GV-R56XTGAMING OC-6GD,UNKNOWN,True,False,wrong
15,RAG-noisy,bus_type,False,PCIe 3.0 x16,UNKNOWN,True,False,wrong
15,RAG-noisy,model_number,False,100-506008,UNKNOWN,True,False,wrong
16,RAG-noisy,model_number,False,NE6166SS18J9-161F,UNKNOWN,True,False,wrong
