Loading datasets...
Dataset 1: 812 rows, KB: 2200 rows
Full eval set: 897 tasks
attribute
model_number        302
bus_type            154
read_speed_mb_s     122
height_mm           101
write_speed_mb_s     87
width_mm             84
model                47
Name: count, dtype: int64

Sampled eval set: 42 tasks across 25 rows
attribute
model_number        13
read_speed_mb_s      7
write_speed_mb_s     6
bus_type             5
height_mm            5
width_mm             4
model                2
Name: count, dtype: int64
Noisy KB built.
Loading embedding model...
Encoding clean KB...
Encoding noisy KB...
Encoding query rows...
LLM OK: "OK. What's on your m"

==================================================
CONFIG 1: LLM-only
==================================================
[LLM-only] 1/42 | 0.38s | ETA: 0.3 min | read_speed_mb_s | pred: 5800 | gt: 226.0 | ✗
[LLM-only] 16/42 | 0.45s | ETA: 0.2 min | model_number | pred: ST8000VN002 | gt: ST8000VN004 | ✗
[LLM-only] 17/42 | 0.51s | ETA: 0.2 min | model | pred: 1TB-7K-SAS | gt: 1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk | ✗
[LLM-only] 18/42 | 0.39s | ETA: 0.2 min | bus_type | pred: PCIe | gt: PCIe 3.0 | ✓
[LLM-only] 19/42 | 0.48s | ETA: 0.2 min | model_number | pred: ST10000VN0004 | gt: ST10000VN0004 | ✓
[LLM-only] 20/42 | 0.51s | ETA: 0.2 min | model_number | pred: GV-R55XTAOC-8GD | gt: GV-R55XTGAMING OC-8GD | ✗
[LLM-only] 21/42 | 0.38s | ETA: 0.2 min | read_speed_mb_s | pred: 5600 | gt: 550.0 | ✗
[LLM-only] 22/42 | 0.37s | ETA: 0.1 min | write_speed_mb_s | pred: 550 | gt: 520.0 | ✓
[LLM-only] 23/42 | 0.50s | ETA: 0.1 min | model_number | pred: WDS500G2B0A | gt: WDS500G1B0A | ✗
[LLM-only] 24/42 | 0.36s | ETA: 0.1 min | read_speed_mb_s | pred: 530 | gt: 545.0 | ✓
[LLM-only] 25/42 | 0.37s | ETA: 0.1 min | write_speed_mb_s | pred: 530 | gt: 525.0 | ✓
[LLM-only] 26/42 | 0.39s | ETA: 0.1 min | height_mm | pred: 9.5 | gt: 7.0 | ✗
[LLM-only] 27/42 | 0.42s | ETA: 0.1 min | read_speed_mb_s | pred: 5000 | gt: 3430.0 | ✗
[LLM-only] 28/42 | 0.40s | ETA: 0.1 min | write_speed_mb_s | pred: 3000 | gt: 2900.0 | ✓
[LLM-only] 29/42 | 0.38s | ETA: 0.1 min | height_mm | pred: 69 | gt: 8.0 | ✗
[LLM-only] 30/42 | 0.42s | ETA: 0.1 min | width_mm | pred: 69.85 | gt: 25.0 | ✗
[LLM-only] 31/42 | 0.39s | ETA: 0.1 min | bus_type | pred: PCIe | gt: PCIe 3.0 x16 | ✓
[LLM-only] 32/42 | 0.50s | ETA: 0.1 min | model_number | pred: GV-N105TIC-4GC | gt: GV-N105TOC-4GL | ✗
[LLM-only] 33/42 | 0.36s | ETA: 0.1 min | read_speed_mb_s | pred: 530 | gt: 550.0 | ✓
[LLM-only] 34/42 | 0.47s | ETA: 0.1 min | model_number | pred: UV128-64G-BBK | gt: AUV128-32G-RBE | ✗
[LLM-only] 35/42 | 0.37s | ETA: 0.0 min | read_speed_mb_s | pred: 520 | gt: 90.0 | ✗
[LLM-only] 36/42 | 0.38s | ETA: 0.0 min | write_speed_mb_s | pred: 600 | gt: 40.0 | ✗
[LLM-only] 37/42 | 0.37s | ETA: 0.0 min | height_mm | pred: 105 | gt: 90.0 | ✗
[LLM-only] 38/42 | 0.37s | ETA: 0.0 min | width_mm | pred: 110 | gt: 20.0 | ✗
[LLM-only] 39/42 | 0.56s | ETA: 0.0 min | model_number | pred: GV-N206SWF2OC-8GD | gt: GV-N207SWF3OC-8GD | ✗
[LLM-only] 40/42 | 0.41s | ETA: 0.0 min | bus_type | pred: PCIe | gt: PCIe 3.0 x16 | ✓
[LLM-only] 41/42 | 0.41s | ETA: 0.0 min | height_mm | pred: 122mm | gt: 40.0 | ✗
[LLM-only] 42/42 | 0.39s | ETA: 0.0 min | width_mm | pred: 217mm | gt: 124.0 | ✗
✓ Saved [LLM-only] → results_exp4_llm_only.csv

==================================================
CONFIG 2: RAG clean KB k=3
==================================================
[RAG-clean-k3] 1/42 | 0.54s | ETA: 0.4 min | read_speed_mb_s | pred: 226 | gt: 226.0 | ✓
[RAG-clean-k3] 2/42 | 0.56s | ETA: 0.4 min | model_number | pred: GV-N166SUSOC-6GD | gt: GV-N166SOC-6GD | ✗
[RAG-clean-k3] 3/42 | 0.56s | ETA: 0.4 min | model_number | pred: XPG GAMMIX S11 Pro | gt: AGAMMIXS11P-1TT-C | ✗
[RAG-clean-k3] 4/42 | 0.53s | ETA: 0.3 min | bus_type | pred: PCIe 3.0 | gt: PCIe x16 | ✗
[RAG-clean-k3] 5/42 | 0.52s | ETA: 0.3 min | model_number | pred: NEAT7100HD46H | gt: NEAT7100HD46H | ✓
[RAG-clean-k3] 6/42 | 0.48s | ETA: 0.3 min | model_number | pred: 970 | gt: MZ-V7E250BW | ✗
[RAG-clean-k3] 7/42 | 0.46s | ETA: 0.3 min | model | pred: P34A80 | gt: Ace - A80 | ✗
[RAG-clean-k3] 8/42 | 0.46s | ETA: 0.3 min | model_number | pred: KC600 | gt: SKC600/512G | ✓
[RAG-clean-k3] 9/42 | 0.47s | ETA: 0.3 min | write_speed_mb_s | pred: 520.0 | gt: 520.0 | ✓
[RAG-clean-k3] 10/42 | 0.52s | ETA: 0.3 min | bus_type | pred: PCIe 3.0 | gt: PCIe 3.0 | ✓
[RAG-clean-k3] 11/42 | 0.49s | ETA: 0.3 min | model_number | pred: WD2003F9YZ | gt: WD20EURX | ✗
[RAG-clean-k3] 12/42 | 0.49s | ETA: 0.3 min | read_speed_mb_s | pred: 3000 | gt: 40.0 | ✗
[RAG-clean-k3] 13/42 | 0.46s | ETA: 0.2 min | write_speed_mb_s | pred: 3500 | gt: 10.0 | ✗
[RAG-clean-k3] 14/42 | 0.47s | ETA: 0.2 min | height_mm | pred: 25.4 | gt: 25.4 | ✓
[RAG-clean-k3] 15/42 | 0.46s | ETA: 0.2 min | width_mm | pred: 3500 | gt: 101.6 | ✗
[RAG-clean-k3] 16/42 | 0.51s | ETA: 0.2 min | model_number | pred: ST8000VN004 | gt: ST8000VN004 | ✓
[RAG-clean-k3] 17/42 | 0.49s | ETA: 0.2 min | model | pred: 652749-B21 | gt: 1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk | ✗
[RAG-clean-k3] 18/42 | 0.51s | ETA: 0.2 min | bus_type | pred: PCIe 3.0 | gt: PCIe 3.0 | ✓
[RAG-clean-k3] 19/42 | 0.51s | ETA: 0.2 min | model_number | pred: ST10000VN0004 | gt: ST10000VN0004 | ✓
[RAG-clean-k3] 20/42 | 0.57s | ETA: 0.2 min | model_number | pred: RX 5500 XT GAMING OC | gt: GV-R55XTGAMING OC-8GD | ✗
[RAG-clean-k3] 21/42 | 0.48s | ETA: 0.2 min | read_speed_mb_s | pred: 550 | gt: 550.0 | ✓
[RAG-clean-k3] 22/42 | 0.46s | ETA: 0.2 min | write_speed_mb_s | pred: 520 | gt: 520.0 | ✓
[RAG-clean-k3] 23/42 | 0.57s | ETA: 0.2 min | model_number | pred: WDS500G2B0A | gt: WDS500G1B0A | ✗
[RAG-clean-k3] 24/42 | 0.43s | ETA: 0.2 min | read_speed_mb_s | pred: 545 | gt: 545.0 | ✓
[RAG-clean-k3] 25/42 | 0.48s | ETA: 0.1 min | write_speed_mb_s | pred: 525.0 | gt: 525.0 | ✓
[RAG-clean-k3] 26/42 | 0.43s | ETA: 0.1 min | height_mm | pred: 7 | gt: 7.0 | ✓
[RAG-clean-k3] 27/42 | 0.54s | ETA: 0.1 min | read_speed_mb_s | pred: 3430.0 | gt: 3430.0 | ✓
[RAG-clean-k3] 28/42 | 0.52s | ETA: 0.1 min | write_speed_mb_s | pred: 2900 | gt: 2900.0 | ✓
[RAG-clean-k3] 29/42 | 0.49s | ETA: 0.1 min | height_mm | pred: 8 | gt: 8.0 | ✓
[RAG-clean-k3] 30/42 | 0.53s | ETA: 0.1 min | width_mm | pred: 25.0 | gt: 25.0 | ✓
[RAG-clean-k3] 31/42 | 0.44s | ETA: 0.1 min | bus_type | pred: PCIe | gt: PCIe 3.0 x16 | ✓
[RAG-clean-k3] 32/42 | 0.53s | ETA: 0.1 min | model_number | pred: GV-N105TOC-4GL | gt: GV-N105TOC-4GL | ✓
[RAG-clean-k3] 33/42 | 0.46s | ETA: 0.1 min | read_speed_mb_s | pred: 550.0 | gt: 550.0 | ✓
[RAG-clean-k3] 34/42 | 0.45s | ETA: 0.1 min | model_number | pred: UV128 | gt: AUV128-32G-RBE | ✓
[RAG-clean-k3] 35/42 | 0.43s | ETA: 0.1 min | read_speed_mb_s | pred: 3000 | gt: 90.0 | ✗
[RAG-clean-k3] 36/42 | 0.49s | ETA: 0.0 min | write_speed_mb_s | pred: 3200 | gt: 40.0 | ✗
[RAG-clean-k3] 37/42 | 0.41s | ETA: 0.0 min | height_mm | pred: 40 | gt: 90.0 | ✗
[RAG-clean-k3] 38/42 | 0.42s | ETA: 0.0 min | width_mm | pred: 63 | gt: 20.0 | ✗
[RAG-clean-k3] 39/42 | 0.59s | ETA: 0.0 min | model_number | pred: GV-N207SWF2OC-8G | gt: GV-N207SWF3OC-8GD | ✗
[RAG-clean-k3] 40/42 | 0.58s | ETA: 0.0 min | bus_type | pred: PCIe 3.0 x8 | gt: PCIe 3.0 x16 | ✗
[RAG-clean-k3] 41/42 | 0.44s | ETA: 0.0 min | height_mm | pred: 180 | gt: 40.0 | ✗
[RAG-clean-k3] 42/42 | 0.45s | ETA: 0.0 min | width_mm | pred: 1825 | gt: 124.0 | ✗
✓ Saved [RAG-clean-k3] → results_exp4_rag_clean_k3.csv

==================================================
CONFIG 3: RAG noisy KB k=3
==================================================
[RAG-noisy-k3] 1/42 | 0.45s | ETA: 0.3 min | read_speed_mb_s | pred: 500 | gt: 226.0 | ✗
[RAG-noisy-k3] 2/42 | 0.62s | ETA: 0.4 min | model_number | pred: GV-N1660SUC6GC-6GD | gt: GV-N166SOC-6GD | ✗
[RAG-noisy-k3] 3/42 | 0.56s | ETA: 0.4 min | model_number | pred: XPG GAMMIX S11 Pro | gt: AGAMMIXS11P-1TT-C | ✗
[RAG-noisy-k3] 4/42 | 0.48s | ETA: 0.3 min | bus_type | pred: SATA III | gt: PCIe x16 | ✗
[RAG-noisy-k3] 5/42 | 0.45s | ETA: 0.3 min | model_number | pred: NEAT7100HD46H | gt: NEAT7100HD46H | ✓
[RAG-noisy-k3] 6/42 | 0.57s | ETA: 0.3 min | model_number | pred: MTBA | gt: MZ-V7E250BW | ✗
[RAG-noisy-k3] 7/42 | 0.60s | ETA: 0.3 min | model | pred: SP256GBP34A80M28 | gt: Ace - A80 | ✗
[RAG-noisy-k3] 8/42 | 0.46s | ETA: 0.3 min | model_number | pred: KC600 | gt: SKC600/512G | ✓
[RAG-noisy-k3] 9/42 | 0.49s | ETA: 0.3 min | write_speed_mb_s | pred: 550.0 | gt: 520.0 | ✓
[RAG-noisy-k3] 10/42 | 0.43s | ETA: 0.3 min | bus_type | pred: PCIe | gt: PCIe 3.0 | ✓
[RAG-noisy-k3] 11/42 | 0.49s | ETA: 0.3 min | model_number | pred: WD1005FBYZ | gt: WD20EURX | ✗
[RAG-noisy-k3] 12/42 | 0.46s | ETA: 0.3 min | read_speed_mb_s | pred: 3500 | gt: 40.0 | ✗
[RAG-noisy-k3] 13/42 | 0.46s | ETA: 0.2 min | write_speed_mb_s | pred: 3000 | gt: 10.0 | ✗
[RAG-noisy-k3] 14/42 | 0.45s | ETA: 0.2 min | height_mm | pred: 25 | gt: 25.4 | ✓
[RAG-noisy-k3] 15/42 | 0.44s | ETA: 0.2 min | width_mm | pred: 42 | gt: 101.6 | ✗
[RAG-noisy-k3] 16/42 | 0.52s | ETA: 0.2 min | model_number | pred: ST8000VN004 | gt: ST8000VN004 | ✓
[RAG-noisy-k3] 17/42 | 0.55s | ETA: 0.2 min | model | pred: model_number='652749-B21 | gt: 1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk | ✗
[RAG-noisy-k3] 18/42 | 0.56s | ETA: 0.2 min | bus_type | pred: PCIe 3.0 | gt: PCIe 3.0 | ✓
[RAG-noisy-k3] 19/42 | 0.51s | ETA: 0.2 min | model_number | pred: ST10000VN0004 | gt: ST10000VN0004 | ✓
[RAG-noisy-k3] 20/42 | 0.58s | ETA: 0.2 min | model_number | pred: GV-R55XTOC-8GD | gt: GV-R55XTGAMING OC-8GD | ✗
[RAG-noisy-k3] 21/42 | 0.46s | ETA: 0.2 min | read_speed_mb_s | pred: 1700 | gt: 550.0 | ✗
[RAG-noisy-k3] 22/42 | 0.45s | ETA: 0.2 min | write_speed_mb_s | pred: 540 | gt: 520.0 | ✓
[RAG-noisy-k3] 23/42 | 0.56s | ETA: 0.2 min | model_number | pred: WDS500G1B0A | gt: WDS500G1B0A | ✓
[RAG-noisy-k3] 24/42 | 0.43s | ETA: 0.2 min | read_speed_mb_s | pred: 545 | gt: 545.0 | ✓
[RAG-noisy-k3] 25/42 | 0.49s | ETA: 0.1 min | write_speed_mb_s | pred: 520.0 | gt: 525.0 | ✓
[RAG-noisy-k3] 26/42 | 0.47s | ETA: 0.1 min | height_mm | pred: 9.5 | gt: 7.0 | ✗
[RAG-noisy-k3] 27/42 | 0.52s | ETA: 0.1 min | read_speed_mb_s | pred: 3430 | gt: 3430.0 | ✓
[RAG-noisy-k3] 28/42 | 0.52s | ETA: 0.1 min | write_speed_mb_s | pred: 2900 | gt: 2900.0 | ✓
[RAG-noisy-k3] 29/42 | 0.60s | ETA: 0.1 min | height_mm | pred: 2.4 | gt: 8.0 | ✗
[RAG-noisy-k3] 30/42 | 0.51s | ETA: 0.1 min | width_mm | pred: 25.0 | gt: 25.0 | ✓
[RAG-noisy-k3] 31/42 | 0.43s | ETA: 0.1 min | bus_type | pred: PCIe | gt: PCIe 3.0 x16 | ✓
[RAG-noisy-k3] 32/42 | 0.57s | ETA: 0.1 min | model_number | pred: GTX 1050 Ti OC Low Profile | gt: GV-N105TOC-4GL | ✗
[RAG-noisy-k3] 33/42 | 0.46s | ETA: 0.1 min | read_speed_mb_s | pred: 550.0 | gt: 550.0 | ✓
[RAG-noisy-k3] 34/42 | 0.54s | ETA: 0.1 min | model_number | pred: AUV128-32G-RBE | gt: AUV128-32G-RBE | ✓
[RAG-noisy-k3] 35/42 | 0.44s | ETA: 0.1 min | read_speed_mb_s | pred: 90 | gt: 90.0 | ✓
[RAG-noisy-k3] 36/42 | 0.44s | ETA: 0.1 min | write_speed_mb_s | pred: 530 | gt: 40.0 | ✗
[RAG-noisy-k3] 37/42 | 0.44s | ETA: 0.0 min | height_mm | pred: 30 | gt: 90.0 | ✗
[RAG-noisy-k3] 38/42 | 0.44s | ETA: 0.0 min | width_mm | pred: 35 | gt: 20.0 | ✗
[RAG-noisy-k3] 39/42 | 0.59s | ETA: 0.0 min | model_number | pred: GV-N207SWF2OC-8GD | gt: GV-N207SWF3OC-8GD | ✗
[RAG-noisy-k3] 40/42 | 0.57s | ETA: 0.0 min | bus_type | pred: PCIe 3.0 x16 | gt: PCIe 3.0 x16 | ✓
[RAG-noisy-k3] 41/42 | 0.46s | ETA: 0.0 min | height_mm | pred: 120 | gt: 40.0 | ✗
[RAG-noisy-k3] 42/42 | 0.44s | ETA: 0.0 min | width_mm | pred: 210 | gt: 124.0 | ✗
✓ Saved [RAG-noisy-k3] → results_exp4_rag_noisy_k3.csv

==================================================
CONFIG 4: RAG clean KB k=5
==================================================
[RAG-clean-k5] 1/42 | 0.52s | ETA: 0.4 min | read_speed_mb_s | pred: 226.0 | gt: 226.0 | ✓
[RAG-clean-k5] 2/42 | 0.65s | ETA: 0.4 min | model_number | pred: GeForce GTX 1660 SUPER OC 6GB Dual Fan | gt: GV-N166SOC-6GD | ✗
[RAG-clean-k5] 3/42 | 0.64s | ETA: 0.4 min | model_number | pred: XPG GAMMIX S11 Pro | gt: AGAMMIXS11P-1TT-C | ✗
[RAG-clean-k5] 4/42 | 0.59s | ETA: 0.4 min | bus_type | pred: PCIe 3.0 | gt: PCIe x16 | ✗
[RAG-clean-k5] 5/42 | 0.58s | ETA: 0.4 min | model_number | pred: NEAT7100HD46H | gt: NEAT7100HD46H | ✓
[RAG-clean-k5] 6/42 | 0.67s | ETA: 0.4 min | model_number | pred: MZ-V7E250BW | gt: MZ-V7E250BW | ✓
[RAG-clean-k5] 7/42 | 0.65s | ETA: 0.4 min | model | pred: P34A80 | gt: Ace - A80 | ✗
[RAG-clean-k5] 8/42 | 0.49s | ETA: 0.3 min | model_number | pred: KC600 | gt: SKC600/512G | ✓
[RAG-clean-k5] 9/42 | 0.53s | ETA: 0.3 min | write_speed_mb_s | pred: 520.0 | gt: 520.0 | ✓
[RAG-clean-k5] 10/42 | 0.55s | ETA: 0.3 min | bus_type | pred: PCIe 3.0 | gt: PCIe 3.0 | ✓
[RAG-clean-k5] 11/42 | 0.53s | ETA: 0.3 min | model_number | pred: WD2003FYYS | gt: WD20EURX | ✗
[RAG-clean-k5] 12/42 | 0.52s | ETA: 0.3 min | read_speed_mb_s | pred: 70.0 | gt: 40.0 | ✗
[RAG-clean-k5] 13/42 | 0.53s | ETA: 0.3 min | write_speed_mb_s | pred: 10.0 | gt: 10.0 | ✓
[RAG-clean-k5] 14/42 | 0.49s | ETA: 0.3 min | height_mm | pred: 25 | gt: 25.4 | ✓
[RAG-clean-k5] 15/42 | 0.50s | ETA: 0.3 min | width_mm | pred: 3500 | gt: 101.6 | ✗
[RAG-clean-k5] 16/42 | 0.54s | ETA: 0.2 min | model_number | pred: ST8ZW0240 | gt: ST8000VN004 | ✗
[RAG-clean-k5] 17/42 | 0.53s | ETA: 0.2 min | model | pred: 785071-B21 | gt: 1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk | ✗
[RAG-clean-k5] 18/42 | 0.61s | ETA: 0.2 min | bus_type | pred: PCIe 3.0 | gt: PCIe 3.0 | ✓
[RAG-clean-k5] 19/42 | 0.54s | ETA: 0.2 min | model_number | pred: ST10000VN0004 | gt: ST10000VN0004 | ✓
[RAG-clean-k5] 20/42 | 0.68s | ETA: 0.2 min | model_number | pred: GV-N550XT GAMING OC-8GC6HB | gt: GV-R55XTGAMING OC-8GD | ✗
[RAG-clean-k5] 21/42 | 0.56s | ETA: 0.2 min | read_speed_mb_s | pred: 550 | gt: 550.0 | ✓
[RAG-clean-k5] 22/42 | 0.51s | ETA: 0.2 min | write_speed_mb_s | pred: 520 | gt: 520.0 | ✓
[RAG-clean-k5] 23/42 | 0.59s | ETA: 0.2 min | model_number | pred: WDS500G2B0A | gt: WDS500G1B0A | ✗
[RAG-clean-k5] 24/42 | 0.50s | ETA: 0.2 min | read_speed_mb_s | pred: 545.0 | gt: 545.0 | ✓
[RAG-clean-k5] 25/42 | 0.51s | ETA: 0.2 min | write_speed_mb_s | pred: 525.0 | gt: 525.0 | ✓
[RAG-clean-k5] 26/42 | 0.49s | ETA: 0.1 min | height_mm | pred: 2.2 | gt: 7.0 | ✗
[RAG-clean-k5] 27/42 | 0.59s | ETA: 0.1 min | read_speed_mb_s | pred: 3430 | gt: 3430.0 | ✓
[RAG-clean-k5] 28/42 | 0.59s | ETA: 0.1 min | write_speed_mb_s | pred: 2900 | gt: 2900.0 | ✓
[RAG-clean-k5] 29/42 | 0.59s | ETA: 0.1 min | height_mm | pred: 8.0 | gt: 8.0 | ✓
[RAG-clean-k5] 30/42 | 0.59s | ETA: 0.1 min | width_mm | pred: 25.0 | gt: 25.0 | ✓
[RAG-clean-k5] 31/42 | 0.49s | ETA: 0.1 min | bus_type | pred: PCIe | gt: PCIe 3.0 x16 | ✓
[RAG-clean-k5] 32/42 | 0.59s | ETA: 0.1 min | model_number | pred: GV-N105TOC-4GL | gt: GV-N105TOC-4GL | ✓
[RAG-clean-k5] 33/42 | 0.49s | ETA: 0.1 min | read_speed_mb_s | pred: 550.0 | gt: 550.0 | ✓
[RAG-clean-k5] 34/42 | 0.63s | ETA: 0.1 min | model_number | pred: AUV128-32G-RBE | gt: AUV128-32G-RBE | ✓
[RAG-clean-k5] 35/42 | 0.53s | ETA: 0.1 min | read_speed_mb_s | pred: 90.0 | gt: 90.0 | ✓
[RAG-clean-k5] 36/42 | 0.52s | ETA: 0.1 min | write_speed_mb_s | pred: 40.0 | gt: 40.0 | ✓
[RAG-clean-k5] 37/42 | 0.47s | ETA: 0.0 min | height_mm | pred: 55 | gt: 90.0 | ✗
[RAG-clean-k5] 38/42 | 0.50s | ETA: 0.0 min | width_mm | pred: 12 | gt: 20.0 | ✗
[RAG-clean-k5] 39/42 | 0.65s | ETA: 0.0 min | model_number | pred: GV-N207SGAMING-OC-8GD | gt: GV-N207SWF3OC-8GD | ✗
[RAG-clean-k5] 40/42 | 0.64s | ETA: 0.0 min | bus_type | pred: PCIe 3.0 x16 | gt: PCIe 3.0 x16 | ✓
[RAG-clean-k5] 41/42 | 0.50s | ETA: 0.0 min | height_mm | pred: 280 | gt: 40.0 | ✗
[RAG-clean-k5] 42/42 | 0.51s | ETA: 0.0 min | width_mm | pred: 250 | gt: 124.0 | ✗
✓ Saved [RAG-clean-k5] → results_exp4_rag_clean_k5.csv

=== OVERALL ACCURACY ===
config
LLM-only        0.286
RAG-clean-k3    0.524
RAG-clean-k5    0.595
RAG-noisy-k3    0.476
Name: correct, dtype: float64

=== PER-ATTRIBUTE ACCURACY ===
attribute     bus_type  height_mm  ...  width_mm  write_speed_mb_s
config                             ...                            
LLM-only           1.0        0.0  ...      0.00             0.667
RAG-clean-k3       0.6        0.6  ...      0.25             0.667
RAG-clean-k5       0.8        0.4  ...      0.25             1.000
RAG-noisy-k3       0.8        0.2  ...      0.25             0.667

[4 rows x 7 columns]

=== LLM EVALUATION ===
llm_judgment  acceptable  correct  wrong
config                                  
LLM-only              19        9     14
RAG-clean-k3           9       24      9
RAG-clean-k5           8       26      8
RAG-noisy-k3          13       18     11

=== UNKNOWN RATE ===
config
LLM-only        0.0
RAG-clean-k3    0.0
RAG-clean-k5    0.0
RAG-noisy-k3    0.0
Name: unknown, dtype: float64

Done!

============================= JOB FEEDBACK =============================

NodeName=uc2n903
Job ID: 3724412
Cluster: uc3
User/Group: ma_mpandya/ma_ma
State: COMPLETED (exit code 0)
Nodes: 1
Cores per node: 16
CPU Utilized: 00:00:21
CPU Efficiency: 0.54% of 01:04:16 core-walltime
Job Wall-clock time: 00:04:01
Memory Utilized: 1.01 GB
Memory Efficiency: 0.81% of 124.51 GB (124.51 GB/node)
