config,df1_idx,attribute,is_numeric,ground_truth,predicted,correct,unknown
PyDI-LLMExtractor,606.0,width_mm,True,25.0,UNKNOWN,False,True
PyDI-LLMExtractor,617.0,bus_type,False,PCIe 3.0 x16,UNKNOWN,False,True
PyDI-LLMExtractor,617.0,model_number,False,GV-N105TOC-4GL,UNKNOWN,False,True
PyDI-LLMExtractor,725.0,read_speed_mb_s,True,550.0,UNKNOWN,False,True
PyDI-LLMExtractor,785.0,model_number,False,AUV128-32G-RBE,UNKNOWN,False,True
PyDI-LLMExtractor,785.0,read_speed_mb_s,True,90.0,UNKNOWN,False,True
PyDI-LLMExtractor,785.0,write_speed_mb_s,True,40.0,UNKNOWN,False,True
PyDI-LLMExtractor,785.0,height_mm,True,90.0,UNKNOWN,False,True
PyDI-LLMExtractor,785.0,width_mm,True,20.0,UNKNOWN,False,True
PyDI-LLMExtractor,795.0,model_number,False,GV-N207SWF3OC-8GD,UNKNOWN,False,True
PyDI-LLMExtractor,806.0,bus_type,False,PCIe 3.0 x16,UNKNOWN,False,True
PyDI-LLMExtractor,806.0,height_mm,True,40.0,UNKNOWN,False,True
PyDI-LLMExtractor,806.0,width_mm,True,124.0,UNKNOWN,False,True
LLM-only,,read_speed_mb_s,True,226.0,5200,False,False
LLM-only,,model_number,False,GV-N166SOC-6GD,GV-N166SOFSOC-6GD,False,False
LLM-only,,model_number,False,AGAMMIXS11P-1TT-C,XPG GAMMIX S11 Pro,False,False
LLM-only,,bus_type,False,PCIe x16,PCIe,True,False
LLM-only,,model_number,False,NEAT7100HD46H,GT-710P2DF4GV6-1033A,False,False
LLM-only,,model_number,False,MZ-V7E250BW,970 EVO Plus,False,False
LLM-only,,model,False,Ace - A80,SP256GBP34A80M28,False,False
LLM-only,,model_number,False,SKC600/512G,KC600S512G,False,False
LLM-only,,write_speed_mb_s,True,520.0,530,True,False
LLM-only,,bus_type,False,PCIe 3.0,PCIe,True,False
LLM-only,,model_number,False,WD20EURX,WDBYR0020AWD,False,False
LLM-only,,read_speed_mb_s,True,40.0,500,False,False
LLM-only,,write_speed_mb_s,True,10.0,600,False,False
LLM-only,,height_mm,True,25.4,44,False,False
LLM-only,,width_mm,True,101.6,147,False,False
LLM-only,,model_number,False,ST8000VN004,ST8000AS0002,False,False
LLM-only,,model,False,1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk,1TB-07F-SAS,False,False
LLM-only,,bus_type,False,PCIe 3.0,PCIe,True,False
LLM-only,,model_number,False,ST10000VN0004,ST10000VN0006,False,False
LLM-only,,model_number,False,GV-R55XTGAMING OC-8GD,GV-R55XTOC-8GD,False,False
LLM-only,,read_speed_mb_s,True,550.0,500,True,False
LLM-only,,write_speed_mb_s,True,520.0,550,True,False
LLM-only,,model_number,False,WDS500G1B0A,WDS500G2B0A,False,False
LLM-only,,read_speed_mb_s,True,545.0,530,True,False
LLM-only,,write_speed_mb_s,True,525.0,530,True,False
LLM-only,,height_mm,True,7.0,6,False,False
LLM-only,,read_speed_mb_s,True,3430.0,5000,False,False
LLM-only,,write_speed_mb_s,True,2900.0,3500,False,False
LLM-only,,height_mm,True,8.0,7.1,False,False
LLM-only,,width_mm,True,25.0,70,False,False
LLM-only,,bus_type,False,PCIe 3.0 x16,PCIe,True,False
LLM-only,,model_number,False,GV-N105TOC-4GL,NVIDIA-9061-16GB-GDDR5,False,False
LLM-only,,read_speed_mb_s,True,550.0,525,True,False
LLM-only,,model_number,False,AUV128-32G-RBE,"A-DATA DashDrive UV128 64GB Black+Blue USB 3.0 Flash Drive, Retail",False,False
LLM-only,,read_speed_mb_s,True,90.0,60,False,False
LLM-only,,write_speed_mb_s,True,40.0,40,True,False
LLM-only,,height_mm,True,90.0,63,False,False
LLM-only,,width_mm,True,20.0,50,False,False
LLM-only,,model_number,False,GV-N207SWF3OC-8GD,GV-N207SWF2OC-8H,False,False
LLM-only,,bus_type,False,PCIe 3.0 x16,PCIe,True,False
LLM-only,,height_mm,True,40.0,165,False,False
LLM-only,,width_mm,True,124.0,235,False,False
RAGCleaner,,read_speed_mb_s,True,226.0,7200RPM,False,False
RAGCleaner,,model_number,False,GV-N166SOC-6GD,GV-N166TSG6GC-6GD,False,False
RAGCleaner,,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11-1TT-C,False,False
RAGCleaner,,bus_type,False,PCIe x16,PCIe 3.0,False,False
RAGCleaner,,model_number,False,NEAT7100HD46H,NEAT7100HD46H,True,False
RAGCleaner,,model_number,False,MZ-V7E250BW,MZ-V7E250BW,True,False
RAGCleaner,,model,False,Ace - A80,P34A80,False,False
RAGCleaner,,model_number,False,SKC600/512G,KC600-SP512G,False,False
RAGCleaner,,write_speed_mb_s,True,520.0,520,True,False
RAGCleaner,,bus_type,False,PCIe 3.0,PCIe,True,False
RAGCleaner,,model_number,False,WD20EURX,WD20EFRX,False,False
RAGCleaner,,read_speed_mb_s,True,40.0,500,False,False
RAGCleaner,,write_speed_mb_s,True,10.0,600,False,False
RAGCleaner,,height_mm,True,25.4,44mm,False,False
RAGCleaner,,width_mm,True,101.6,76,False,False
RAGCleaner,,model_number,False,ST8000VN004,ST8000VN003,False,False
RAGCleaner,,model,False,1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk,787667-B21,False,False
RAGCleaner,,bus_type,False,PCIe 3.0,PCIe 4.0,False,False
RAGCleaner,,model_number,False,ST10000VN0004,ST10000VN0004,True,False
RAGCleaner,,model_number,False,GV-R55XTGAMING OC-8GD,GV-R55XTWF2-8G,False,False
RAGCleaner,,read_speed_mb_s,True,550.0,550,True,False
RAGCleaner,,write_speed_mb_s,True,520.0,550-560 MB/s,False,False
RAGCleaner,,model_number,False,WDS500G1B0A,WDS500G1B0A,True,False
RAGCleaner,,read_speed_mb_s,True,545.0,540,True,False
RAGCleaner,,write_speed_mb_s,True,525.0,500,True,False
RAGCleaner,,height_mm,True,7.0,22.3mm,False,False
RAGCleaner,,read_speed_mb_s,True,3430.0,3430,True,False
RAGCleaner,,write_speed_mb_s,True,2900.0,2900MB/s,False,False
RAGCleaner,,height_mm,True,8.0,22mm,False,False
RAGCleaner,,width_mm,True,25.0,M.2 2280,False,False
RAGCleaner,,bus_type,False,PCIe 3.0 x16,PCIe,True,False
RAGCleaner,,model_number,False,GV-N105TOC-4GL,GV-N105TOC-4GL,True,False
RAGCleaner,,read_speed_mb_s,True,550.0,5400,False,False
RAGCleaner,,model_number,False,AUV128-32G-RBE,AUV128-64G-RBE,False,False
RAGCleaner,,read_speed_mb_s,True,90.0,170MB/s,False,False
RAGCleaner,,write_speed_mb_s,True,40.0,100,False,False
RAGCleaner,,height_mm,True,90.0,65,False,False
RAGCleaner,,width_mm,True,20.0,65,False,False
RAGCleaner,,model_number,False,GV-N207SWF3OC-8GD,GV-N207SWF2OC-8H,False,False
RAGCleaner,,bus_type,False,PCIe 3.0 x16,PCIe,True,False
RAGCleaner,,height_mm,True,40.0,12,False,False
RAGCleaner,,width_mm,True,124.0,168,False,False
